  node o_rank o_in o_out p_rank p_in p_out
     4      1  204     0      2   36     0
     2      2  185  2019      1   31  2019
    14      3  144     0     16   22     0
     1      4   96  2551    113   18  2551
     8      5  102     0    134   18     0
   101      6   95     0    536   13     0
    61      7   79     0      3   16     0
    19      8   93     0    123   17     0
   109      9   84     0    924   10     0
    59     10   68     0     21   10     0
     3     11   84  1823      4   24  1823
   159     12   67     0    111   15     0
     0     13   68 10729    258   13  8059
    24     14   64     0    245   12     0
    32     15   72     0    479    9     0
   123     16   67     0    144   11     0
   107     17   64     0     20   13     0
   131     18   62     0    128   13     0
   178     19   48     0    127   10     0
   223     20   63     0     15   12     0
    63     21   56     0   1029    8     0
   302     22   43     0   1673    7     0
   319     23   43     0    267    6     0
    86     24   52     0    354   13     0
    49     25   64     0    122   14     0
    72     26   42     0    112   14     0
   253     27   50     0   2383    5     0
   689     28   43     0    408    7     0
   129     29   38     0   1798    5     0
    13     30   41   244     12    9   244
    35     31   47     0    253   15     0
   479     32   41     0    745    7     0
   184     33   44     0      9   10     0
  1890     34   30     0     49    5     0
   374     35   35     0    152    7     0
    41     36   37     0    701    6     0
  1642     37   28     0    442    5     0
   106     38   35     0     26    7     0
    93     39   44     0      6   11     0
   215     40   41     0   1086    7     0
   165     41   38     0     13   10     0
    43     42   27     0    352    5     0
  1146     43   22     0     11    7     0
    54     44   33     0   2368    5     0
   110     45   30     0   1606    5     0
   639     46   33     0    119    5     0
    74     47   40     0    331    7     0
   939     48   31     0    854    7     0
     6     49   25     0    151    6     0
   243     50   36     0    133   11     0
