  node o_rank o_in o_out p_rank p_in p_out
     1      4   96  2551      4   57  1957
     8      5  102     0      1   65     0
    61      7   79     0      2   57     0
    19      8   93     0      3   57     0
     3     11   84  1823      5   51  1359
     0     13   68 10729      6   37  8015
    32     15   72     0      8   43     0
   107     17   64     0     13   38     0
   131     18   62     0     10   38     0
   178     19   48     0      9   29     0
   223     20   63     0      7   39     0
    63     21   56     0     11   36     0
    86     24   52     0     12   34     0
   689     28   43     0     14   26     0
    13     30   41   244     15   30   167
   184     33   44     0     21   29     0
  1890     34   30     0     17   20     0
    41     36   37     0     23   27     0
  1642     37   28     0     25   19     0
    93     39   44     0     19   28     0
   215     40   41     0     20   27     0
    43     42   27     0     18   20     0
  1146     43   22     0     16   18     0
    54     44   33     0     22   24     0
   939     48   31     0     35   18     0
     6     49   25     0     24   21     0
