  node o_rank o_in o_out p_rank p_in p_out
     4      1  204     0      1   45     0
    14      3  144     0      2   36     0
     8      5  102     0      3   29     0
   159     12   67     0      8   20     0
     0     13   68 10729      4   26  3414
    32     15   72     0     11   17     0
   107     17   64     0      6   20     0
   131     18   62     0      7   23     0
   319     23   43     0      5   18     0
    72     26   42     0    119   10     0
   253     27   50     0     15   16     0
    41     36   37     0      9   14     0
   215     40   41     0     41   12     0
  1146     43   22     0     35    7     0
    54     44   33     0     10   10     0
