  node o_rank o_in o_out p_rank p_in p_out
     2      2  185  2019      1  121  1530
     8      5  102     0      3   63     0
   101      6   95     0      4   62     0
    61      7   79     0      2   53     0
   109      9   84     0      5   57     0
     3     11   84  1823     11   49  1375
   159     12   67     0      7   47     0
     0     13   68 10729      6   50  7816
    24     14   64     0      9   40     0
    32     15   72     0     10   42     0
   123     16   67     0      8   44     0
   107     17   64     0     13   39     0
   178     19   48     0     20   32     0
    63     21   56     0     12   37     0
    86     24   52     0     22   31     0
    49     25   64     0     17   45     0
   253     27   50     0     14   35     0
   689     28   43     0     26   25     0
    13     30   41   244     24   25   173
    35     31   47     0     16   33     0
   184     33   44     0     19   30     0
  1890     34   30     0     21   21     0
   374     35   35     0     18   23     0
  1642     37   28     0     15   20     0
   106     38   35     0     25   24     0
    93     39   44     0     29   26     0
   215     40   41     0     23   29     0
    43     42   27     0     27   16     0
  1146     43   22     0     39   16     0
    54     44   33     0     38   19     0
     6     49   25     0     28   19     0
