  node o_rank o_in o_out p_rank p_in p_out
     4      1  204     0      6   38     0
     2      2  185  2019      1   32  2019
    14      3  144     0     12   25     0
     1      4   96  2551    149   20  2551
     8      5  102     0    171   20     0
   101      6   95     0    277   17     0
    61      7   79     0      3   18     0
    19      8   93     0     22   20     0
   109      9   84     0   1060   11     0
    59     10   68     0     16   11     0
     3     11   84  1823      8   25  1823
   159     12   67     0    148   16     0
     0     13   68 10729    280   14 10729
    24     14   64     0    279   13     0
    32     15   72     0    583    9     0
   123     16   67     0    189   12     0
   107     17   64     0     26   14     0
   131     18   62     0    151   16     0
   178     19   48     0    163   11     0
   223     20   63     0      2   14     0
    63     21   56     0    612   11     0
   302     22   43     0    750    8     0
   319     23   43     0   1336    5     0
    86     24   52     0    472   13     0
    49     25   64     0      7   16     0
    72     26   42     0    200   12     0
   253     27   50     0     25    7     0
   689     28   43     0    408    8     0
   129     29   38     0    745    6     0
    13     30   41   244     13   10   116
    35     31   47     0    160   17     0
   479     32   41     0    781    7     0
   184     33   44     0     10   10     0
  1890     34   30     0     67    5     0
   374     35   35     0    192    7     0
    41     36   37     0    380    7     0
  1642     37   28     0   1050    4     0
   106     38   35     0     18    9     0
    93     39   44     0      4   12     0
   215     40   41     0   1207    7     0
   165     41   38     0     41    8     0
    43     42   27     0    409    5     0
  1146     43   22     0    731    5     0
    54     44   33     0   2423    5     0
   110     45   30     0   1296    6     0
   639     46   33     0    157    6     0
    74     47   40     0    285    7     0
   939     48   31     0    387    8     0
     6     49   25     0    674    6     0
   243     50   36     0    379   10     0
