  node o_rank o_in o_out p_rank p_in p_out
     4      1  204     0      4   30     0
     2      2  185  2019      1   27  2019
    14      3  144     0     26   20     0
     1      4   96  2551     21   18   868
     8      5  102     0    116   17     0
   101      6   95     0    359   14     0
    61      7   79     0      8   13     0
    19      8   93     0     13   19     0
   109      9   84     0    619   10     0
    59     10   68     0     10   11     0
     3     11   84  1823     25   19   650
   159     12   67     0    198   12     0
     0     13   68 10729    200   12 10634
    24     14   64     0    199   12     0
    32     15   72     0    393    8     0
   123     16   67     0    117   12     0
   107     17   64     0     29   12     0
   131     18   62     0     15   11     0
   178     19   48     0    280   10     0
   223     20   63     0      3   12     0
    63     21   56     0    607    9     0
   302     22   43     0   1303    6     0
   319     23   43     0   1159    3     0
    86     24   52     0    269   13     0
    49     25   64     0      6   14     0
    72     26   42     0    205   11     0
   253     27   50     0     60    5     0
   689     28   43     0    335    7     0
   129     29   38     0   1034    5     0
    13     30   41   244      7    7   101
    35     31   47     0    127   14     0
   479     32   41     0     27    8     0
   184     33   44     0     11    8     0
  1890     34   30     0     57    5     0
   374     35   35     0    134    6     0
    41     36   37     0    372    6     0
  1642     37   28     0    624    4     0
   106     38   35     0    208    8     0
    93     39   44     0     16   10     0
   215     40   41     0   1039    5     0
   165     41   38     0     47    6     0
    43     42   27     0    227    5     0
  1146     43   22     0    431    5     0
    54     44   33     0   1385    5     0
   110     45   30     0   1593    4     0
   639     46   33     0    114    6     0
    74     47   40     0    330    6     0
   939     48   31     0    272    8     0
     6     49   25     0    750    5     0
   243     50   36     0    214   10     0
