  node o_rank o_in o_out p_rank p_in p_out
     4      1  204     0      6   30     0
     2      2  185  2019      1   27  2019
    14      3  144     0    106   16     0
     1      4   96  2551     26   18   822
     8      5  102     0    218   15     0
   101      6   95     0    454   10     0
    61      7   79     0      4   13     0
    19      8   93     0    112   14     0
   109      9   84     0    614   10     0
    59     10   68     0     12   10     0
     3     11   84  1823      2   21  1823
   159     12   67     0     24   14     0
     0     13   68 10729    172   12  7016
    24     14   64     0    171   11     0
    32     15   72     0    282    9     0
   123     16   67     0    107   10     0
   107     17   64     0     30   10     0
   131     18   62     0     14   11     0
   178     19   48     0    223    9     0
   223     20   63     0     13   11     0
    63     21   56     0    605    7     0
   302     22   43     0    968    6     0
   319     23   43     0    721    5     0
    86     24   52     0    227   13     0
    49     25   64     0    101   13     0
    72     26   42     0    103   11     0
   253     27   50     0   1002    5     0
   689     28   43     0    238    7     0
   129     29   38     0    907    5     0
    13     30   41   244      8    9    94
    35     31   47     0    116   14     0
   479     32   41     0    394    6     0
   184     33   44     0      7    9     0
  1890     34   30     0     51    5     0
   374     35   35     0    121    5     0
    41     36   37     0    334    6     0
  1642     37   28     0    537    3     0
   106     38   35     0    371    6     0
    93     39   44     0     10   10     0
   215     40   41     0    752    6     0
   165     41   38     0     42    7     0
    43     42   27     0    190    4     0
  1146     43   22     0    374    4     0
    54     44   33     0   1390    5     0
   110     45   30     0   1844    3     0
   639     46   33     0     96    5     0
    74     47   40     0    278    6     0
   939     48   31     0    755    6     0
     6     49   25     0    655    5     0
   243     50   36     0    189    9     0
