  node o_rank o_in o_out p_rank p_in p_out
     4      1  204     0      1    9     0
     2      2  185  2019     43    6   556
     1      4   96  2551      7    6   148
   101      6   95     0     20    6     0
    61      7   79     0     63    5     0
    19      8   93     0     46    5     0
   109      9   84     0     26    6     0
    59     10   68     0     96    4     0
     3     11   84  1823      6    8   110
   159     12   67     0     21    6     0
     0     13   68 10729     81    4   351
    24     14   64     0     68    5     0
   107     17   64     0     59    5     0
   131     18   62     0     11    5     0
   178     19   48     0     32    5     0
    63     21   56     0     52    5     0
   302     22   43     0     49    5     0
    86     24   52     0     19    7     0
    49     25   64     0     57    5     0
    72     26   42     0     92    4     0
   253     27   50     0     79    4     0
   479     32   41     0    181    3     0
  1890     34   30     0    134    3     0
   106     38   35     0     91    4     0
    93     39   44     0     50    5     0
   215     40   41     0    125    3     0
   165     41   38     0    140    3     0
  1146     43   22     0    120    3     0
    54     44   33     0     58    5     0
   110     45   30     0    183    3     0
   939     48   31     0     86    4     0
   243     50   36     0     54    5     0
